timestamp,month,person_id,group_id,scale,scale_label,score_type,score_type_label,score_value,reference_value,reference_sd,quartile,n_group
2024-12-19,December 2024,01NS14,un,cps,NA,assertivite,NA,NA,NA,NA,NA,4
2024-12-19,December 2024,01NS14,un,cps,NA,competences_cognitives,NA,NA,NA,NA,NA,4
2024-12-19,December 2024,01NS14,un,cps,NA,competences_emotionnelles,NA,NA,NA,NA,NA,4
2024-12-19,December 2024,01NS14,un,cps,NA,competences_sociales,NA,NA,NA,NA,NA,4
2024-12-19,December 2024,01NS14,un,cps,NA,total_score,Score global,NA,NA,NA,NA,4
2024-12-19,December 2024,01NS14,un,smbm,NA,epuisement_emotionnel,NA,NA,NA,NA,NA,4
2024-12-19,December 2024,01NS14,un,smbm,NA,fatigue_physique,NA,NA,NA,NA,NA,4
2024-12-19,December 2024,01NS14,un,smbm,NA,lassitude_cognitive,NA,NA,NA,NA,NA,4
2024-12-19,December 2024,01NS14,un,smbm,NA,total_score,Score global,NA,NA,NA,NA,4
2024-12-19,December 2024,01NS14,un,tes,TSES on the sky,anxiete,NA,NA,NA,NA,NA,4
2024-12-19,December 2024,01NS14,un,tes,TSES on the sky,colere,NA,NA,NA,NA,NA,4
2024-12-19,December 2024,01NS14,un,tes,TSES on the sky,joie,NA,NA,NA,NA,NA,4
2024-12-19,December 2024,01NS14,un,tses,Teacher Self-Efficacy Scale,classroom_management,Gestion de classe,NA,NA,NA,NA,4
2024-12-19,December 2024,01NS14,un,tses,Teacher Self-Efficacy Scale,instructional_strategies,Stratégies d'enseignement,NA,NA,NA,NA,4
2024-12-19,December 2024,01NS14,un,tses,Teacher Self-Efficacy Scale,student_engagement,Engagement des élèves,NA,NA,NA,NA,4
2024-12-19,December 2024,01NS14,un,tses,Teacher Self-Efficacy Scale,total_score,Score global,NA,NA,NA,NA,4
2024-12-19,December 2024,01NS14,un,twbi,NA,cognitive_wellbeing,NA,NA,NA,NA,NA,4
2024-12-19,December 2024,01NS14,un,twbi,NA,emotional_psychological_wellbeing,NA,NA,NA,NA,NA,4
2024-12-19,December 2024,01NS14,un,twbi,NA,physical_wellbeing,NA,NA,NA,NA,NA,4
2024-12-19,December 2024,01NS14,un,twbi,NA,social_wellbeing,NA,NA,NA,NA,NA,4
2024-12-19,December 2024,01NS14,un,twbi,NA,spiritual_wellbeing,NA,NA,NA,NA,NA,4
2024-12-19,December 2024,01NS14,un,twbi,NA,total_score,Score global,NA,NA,NA,NA,4
2024-12-19,December 2024,02NS14,un,cps,NA,assertivite,NA,NA,NA,NA,NA,4
2024-12-19,December 2024,02NS14,un,cps,NA,competences_cognitives,NA,NA,NA,NA,NA,4
2024-12-19,December 2024,02NS14,un,cps,NA,competences_emotionnelles,NA,NA,NA,NA,NA,4
2024-12-19,December 2024,02NS14,un,cps,NA,competences_sociales,NA,NA,NA,NA,NA,4
2024-12-19,December 2024,02NS14,un,cps,NA,total_score,Score global,NA,NA,NA,NA,4
2024-12-19,December 2024,02NS14,un,smbm,NA,epuisement_emotionnel,NA,NA,NA,NA,NA,4
2024-12-19,December 2024,02NS14,un,smbm,NA,fatigue_physique,NA,NA,NA,NA,NA,4
2024-12-19,December 2024,02NS14,un,smbm,NA,lassitude_cognitive,NA,NA,NA,NA,NA,4
2024-12-19,December 2024,02NS14,un,smbm,NA,total_score,Score global,NA,NA,NA,NA,4
2024-12-19,December 2024,02NS14,un,tes,TSES on the sky,anxiete,NA,NA,NA,NA,NA,4
2024-12-19,December 2024,02NS14,un,tes,TSES on the sky,colere,NA,NA,NA,NA,NA,4
2024-12-19,December 2024,02NS14,un,tes,TSES on the sky,joie,NA,NA,NA,NA,NA,4
2024-12-19,December 2024,02NS14,un,tses,Teacher Self-Efficacy Scale,classroom_management,Gestion de classe,NA,NA,NA,NA,4
2024-12-19,December 2024,02NS14,un,tses,Teacher Self-Efficacy Scale,instructional_strategies,Stratégies d'enseignement,NA,NA,NA,NA,4
2024-12-19,December 2024,02NS14,un,tses,Teacher Self-Efficacy Scale,student_engagement,Engagement des élèves,NA,NA,NA,NA,4
2024-12-19,December 2024,02NS14,un,tses,Teacher Self-Efficacy Scale,total_score,Score global,NA,NA,NA,NA,4
2024-12-19,December 2024,02NS14,un,twbi,NA,cognitive_wellbeing,NA,NA,NA,NA,NA,4
2024-12-19,December 2024,02NS14,un,twbi,NA,emotional_psychological_wellbeing,NA,NA,NA,NA,NA,4
2024-12-19,December 2024,02NS14,un,twbi,NA,physical_wellbeing,NA,NA,NA,NA,NA,4
2024-12-19,December 2024,02NS14,un,twbi,NA,social_wellbeing,NA,NA,NA,NA,NA,4
2024-12-19,December 2024,02NS14,un,twbi,NA,spiritual_wellbeing,NA,NA,NA,NA,NA,4
2024-12-19,December 2024,02NS14,un,twbi,NA,total_score,Score global,NA,NA,NA,NA,4
2024-12-19,December 2024,03NS14,divers,cps,NA,assertivite,NA,NA,NA,NA,NA,2
2024-12-19,December 2024,03NS14,divers,cps,NA,competences_cognitives,NA,NA,NA,NA,NA,2
2024-12-19,December 2024,03NS14,divers,cps,NA,competences_emotionnelles,NA,NA,NA,NA,NA,2
2024-12-19,December 2024,03NS14,divers,cps,NA,competences_sociales,NA,NA,NA,NA,NA,2
2024-12-19,December 2024,03NS14,divers,cps,NA,total_score,Score global,NA,NA,NA,NA,2
2024-12-19,December 2024,03NS14,divers,smbm,NA,epuisement_emotionnel,NA,NA,NA,NA,NA,2
2024-12-19,December 2024,03NS14,divers,smbm,NA,fatigue_physique,NA,NA,NA,NA,NA,2
2024-12-19,December 2024,03NS14,divers,smbm,NA,lassitude_cognitive,NA,NA,NA,NA,NA,2
2024-12-19,December 2024,03NS14,divers,smbm,NA,total_score,Score global,NA,NA,NA,NA,2
2024-12-19,December 2024,03NS14,divers,tes,TSES on the sky,anxiete,NA,NA,NA,NA,NA,2
2024-12-19,December 2024,03NS14,divers,tes,TSES on the sky,colere,NA,NA,NA,NA,NA,2
2024-12-19,December 2024,03NS14,divers,tes,TSES on the sky,joie,NA,NA,NA,NA,NA,2
